Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center
0902 UT 17 Dec 1996

EDITED EVENTS for 1996 Dec 14

Event     Begin    Max       End  Obs  Q  Type  Loc/Frq   Particulars       Reg#

8530       0318   0321      0324  GO9  5   XRA  1-8A      B1.6    5.05E-05  8003
8530 +     0320   0321      0324  LEA  3   FLA  S27W61    SF                8003

8540 +     0440   0440      0444  LEA  3   FLA  N04E44    SF                8004

8550       0447   0449      0457  LEA  3   FLA  N04E44    SF                8004

8560       0620   0620      0623  LEA  3   FLA  S27W63    SF                8003

8570       1428   1431      1434  GO9  5   XRA  1-8A      B1.1    3.60E-05

8580       1536   1540      1546  GO9  5   XRA  1-8A      B1.3    6.79E-05

8590 +     1747   1753      1800  GO9  5   XRA  1-8A      B1.9    1.16E-04

8600       1839   1843      1846  GO9  5   XRA  1-8A      B1.9    5.76E-05

8610 +     2314   2319      2323  GO9  5   XRA  1-8A      B1.7    6.76E-05
