Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center
0502 UT 1 Apr 1997

EDITED EVENTS for 1997 Mar 29

Event     Begin    Max       End  Obs  Q  Type  Loc/Frq   Particulars       Reg#

7140       0334   0337      0340  GO8  5   XRA  1-8A      B1.0    2.9E-05

7150       0522   0535      0548  GO9  5   XRA  1-8A      B3.3    3.7E-04

7160       0610   0613      0616  GO9  5   XRA  1-8A      B2.4    5.6E-05

7170       0634   0645      0654  GO8  5   XRA  1-8A      B3.0    2.6E-04

7180 +     0943   0948      0955  GO9  5   XRA  1-8A      B1.5    8.4E-05

7190       1358   1406      1418  GO9  5   XRA  1-8A      B1.4    1.5E-04

7220       2021   2024      2027  GO9  5   XRA  1-8A      B1.0    3.3E-05

7230       2041   2045      2052  GO9  5   XRA  1-8A      B3.4    1.4E-04   8026
7230       2045   2045      2048  HOL  3   FLA  S25E49    SF                8026
