Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center
0502 UT 7 Jan 1998

EDITED EVENTS for 1998 Jan 04

Event     Begin    Max       End  Obs  Q  Type  Loc/Frq   Particulars       Reg#

2910 +     0310   0316      0324  GO9  5   XRA  1-8A      B6.7    4.2E-04

2920 +     0840   0843      0848  GO9  5   XRA  1-8A      B1.9    8.6E-05

2930       0913   0924      0932  GO9  5   XRA  1-8A      B2.1    1.9E-04

2940       1006   1016      1023  GO9  5   XRA  1-8A      B1.8    1.6E-04

2950       1338   1345      1356  GO9  5   XRA  1-8A      B1.6    1.7E-04

2960       1439   1512      1526  GO9  5   XRA  1-8A      B3.3    6.6E-04

2970 +     1720   1725      1730  GO9  5   XRA  1-8A      B2.3    1.2E-04

2980 +     2126   2132      2138  GO9  5   XRA  1-8A      B2.2    1.3E-04
