Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center
0402 UT 14 Feb 1998

EDITED EVENTS for 1998 Feb 11

Event     Begin    Max       End  Obs  Q  Type  Loc/Frq   Particulars       Reg#

5940 +     0237   0241      0247  GO9  5   XRA  1-8A      B1.1    6.1E-05

5950 +     0248   ////      0250  CUL  C   RSP  25-80     III/1

5960       0730   0731      0733  LEA  3   FLA  S29E60    SF                8156

5970       1054   1057      1100  GO9  5   XRA  1-8A      B1.0    3.1E-05

5980       1108   1111      1113  GO9  5   XRA  1-8A      B1.0    2.6E-05

6000       1616   1616      1619  HOL  3   FLA  S27E61    SF                8156

6020 +     1917   1923      1935  GO9  5   XRA  1-8A      B2.4    2.0E-04

6030       2232   2236      2240  GO9  5   XRA  1-8A      B1.0    4.6E-05

6040       2341   2344      2346  LEA  3   FLA  S29E51    SF                8156
