:Product: 19980713events.txt
:Created: 1998 Jul 16 0302 UT
:Date: 1998 07 13
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
#
# Missing data: ////
# Updated every 30 minutes.
#                            Edited Events for 1998 Jul 13
#
#Event    Begin    Max       End  Obs  Q  Type  Loc/Frq   Particulars       Reg#
#-------------------------------------------------------------------------------

4250       0935   ////      0951  SVI  C   RSP  035-08    II/3    800           

4260 +     1605   1610      1613  GO9  5   XRA  1-8A      B5.5    2.1E-04       

4270       1651   1651      1704  SVI  3   FLA  S22E33    SF                8270

4280 +     1714   1718      1721  GO9  5   XRA  1-8A      B4.9    1.9E-04       

4330      A1727   ////      0420  SVI  3   DSF  S26W21    12      B.0A          

4380      A1727   ////      0420  SVI  3   DSF  S27W12    03      B.0A          

4290 +     1825   1829      1832  GO9  5   XRA  1-8A      B7.5    2.2E-04       

4300       2029   2033      2040  HOL  3   FLA  N17E32    SF                8269

4310 +     2357   0001      0004  GO9  5   XRA  1-8A      B6.3    2.1E-04       
