:Product: 19981010events.txt
:Created: 1998 Oct 13 0302 UT
:Date: 1998 10 10
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
#
# Missing data: ////
# Updated every 30 minutes.
#                            Edited Events for 1998 Oct 10
#
#Event    Begin    Max       End  Obs  Q  Type  Loc/Frq   Particulars       Reg#
#-------------------------------------------------------------------------------

6500       0608   ////      0608  CUL  C   RSP  24-35     III/1                 

6280 +     0611   0619      0631  GO8  5   XRA  1-8A      C1.4    1.4E-03       

6290 +     0739   0744      0750  GO8  5   XRA  1-8A      B6.6    3.7E-04       

6300       0938   0944      0956  GO8  5   XRA  1-8A      C1.8    1.5E-03       

6310 +     1139   1146      1153  GO8  5   XRA  1-8A      C2.4    1.5E-03       

6320 +     1311   1318      1323  GO8  5   XRA  1-8A      C7.9    3.2E-03       

6330       1551   ////      1551  SVI  U   RSP  038-08    III/2                 

6340 +     1630   1634      1643  GO8  5   XRA  1-8A      B9.1    5.7E-04       

6350 +     1943   1954      2022  GO8  5   XRA  1-8A      C2.4    4.4E-03       

6360 +     2302   2306      2312  GO8  5   XRA  1-8A      B6.8    3.7E-04       

6370 +     2325   2330      2335  GO8  5   XRA  1-8A      B7.8    4.2E-04       
