:Product: 19990112events.txt
:Created: 1999 Jan 15 0302 UT
:Date: 1999 01 12
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
#
# Missing data: ////
# Updated every 30 minutes.
#                            Edited Events for 1999 Jan 12
#
#Event    Begin    Max       End  Obs  Q  Type  Loc/Frq   Particulars       Reg#
#-------------------------------------------------------------------------------

6600 +     0101   0117      0134  GO8  5   XRA  1-8A      C6.2    8.1E-03       

6610 +     0757   0800      0803  GO8  5   XRA  1-8A      B8.1    2.3E-04       

6620 +     1139   1156      1224  GO8  5   XRA  1-8A      C6.9    1.1E-02       

6630 +     1605   1605      1611  COM  3   FLA  S24E84    SF                8439

6640 +     1857   1901      1905  GO8  5   XRA  1-8A      B7.3    3.2E-04       

6650 +     1921   1922      1930  COM  3   FLA  S24E84    SF                8439

6660 +     1932   1940      1944  COM  3   FLA  S24E83    SF                8439

6670 +     2001   2005      2008  GO8  5   XRA  1-8A      B5.4    2.0E-04       
6670       2004   2005      2006  RAM  3   FLA  S20E11    SF                8438

6680 +     2040   2044      2048  GO8  5   XRA  1-8A      B7.8    3.1E-04       

6690       2306   2315      2333  HOL  3   FLA  S24E78    SF                8439
